Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
Sanitation Fund,Supplies Exp,Sanitation Fd Residential,Supplies Minor Equip/Tools,1900,1900,2017,2017-5214-440-80780-00000000-00000000-5102
General Fund,Salaries/Benefit Exp,Genl Fd Operations East Dist,Benefits Workers Comp Ins,11127,11127,2017,2017-1001-530-81141-00000000-00000000-5057
General Fund,Misc Operating Exp,Genl Fd Recruiting & Training,Misc Memberships,2009,2009,2017,2017-1001-410-80330-00000000-00000000-5930
Utility Customer Service Fund,Salaries/Benefit Exp,UCS Fd Bill/Coll,Salaries Language Pay,702,702,2017,2017-2226-300-80260-00000000-00000000-5018
Community Development Fund,Misc Operating Exp,Com Dev Fd Operations,Misc Postage & Freight,425,425,2017,2017-3122-450-80630-00000000-00000000-5960
General Fund,Salaries/Benefit Exp,Genl Fd Operations West Dist,Benefits Retirement,45049,45049,2017,2017-1001-530-81143-00000000-00000000-5051
General Fund,Supplies Exp,Genl Fd Capital Projects Oper,Supplies Goodwill,770,770,2017,2017-1001-440-80730-00000000-00000000-5116
General Fund,Supplies Exp,Genl Fd Neighborhood Services,Supplies Goodwill,25322,25322,2017,2017-1001-100-80151-00000000-00000000-5116
General Fund,Capital Projects Xfr,Genl Fd Non Dept Expense,Transfer Out Parks CIP Fd,63500,63500,2017,2017-1001-910-89100-00000000-00000000-6878-
General Fund,Utilities Exp,Genl Fd Rec Sports Admin,Utilities Mobile Phone,1021,1021,2017,2017-1001-530-81125-SP750   -00000000-5406
General Fund,Salaries/Benefit Exp,Genl Fd Lincoln Center,Salaries Full Time Labor,127400,127400,2017,2017-1001-530-81125-CT850   -00000000-5011
General Fund,Prof Svcs Exp,Genl Fd Adult Kickball,Prof Svcs Contract Labor,2755,2755,2017,2017-1001-530-81125-SP758   -00000000-5315
Wastewater Fund,Purchased Services,WW General Plant Operations,Training Outside,16708,16708,2017,2017-5213-520-80960-00000000-SGOPX   -5551-
General Fund,Salaries/Benefit Exp,Genl Fd Lincoln Center,Benefits Group Life Insurance,409,409,2017,2017-1001-530-81125-CT850   -00000000-5056
General Fund,Salaries/Benefit Exp,Genl Fd Recreation Admin,Benefits Retirement,11170,11170,2017,2017-1001-530-81110-00000000-00000000-5051
General Fund,Purchased Services,Genl Fd Code Enforcement,Printing External,1000,1000,2017,2017-1001-450-80610-00000000-00000000-5582
Employee Benefits Fund,Non-Dept Ins Premium,Empl Ben Ins Fd Non Dept Exp,Insure Prem Vision Care,100206,100206,2017,2017-2222-910-89100-00000000-00000000-6140
Water Fund,Supplies Exp,Water General Operations,Supplies Computer Hdw/Sftw/Oth,5050,5050,2017,2017-5212-510-80900-00000000-WGENX   -5112-
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Dist Overhead,Salaries Cell Allowance,240,240,2017,2017-5211-500-80870-00000000-593     -5021-
General Fund,Salaries/Benefit Exp,Genl Fd Information Services,Benefits Retirement,53427,53427,2017,2017-1001-410-80370-00000000-00000000-5051
Water Fund,Maintenance Exp,Water General Maintenance,Maint Machinery/Tools,500,500,2017,2017-5212-510-80900-00000000-WGENM   -5204-
Sanitation Fund,G&A Transfer Out,Sanitation Fd Non Dept Exp,Interdept Exp Utility Billing,170344,170344,2017,2017-5214-910-89100-00000000-00000000-6010
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Legal,32053,32053,2017,2017-5212-510-80910-00000000-WGENX   -5300-
General Fund,Indirect Exp,Genl Fd Adult Kickball,Recreation Indirect PARD Admin,6796,6796,2017,2017-1001-530-81125-SP758   -00000000-5810
General Fund,Salaries/Benefit Exp,Genl Fd LC   Nature Center,Benefits FICA,2000,2000,2017,2017-1001-530-81125-CT860   -00000000-5050-
Workers' Compensation Ins Fund,Salaries/Benefit Exp,WC Ins Fd Operations,Salaries Language Pay,146,146,2017,2017-2223-100-80160-00000000-00000000-5018
Electric Fund,Purchased Services,Elec EM Advertising Promo,Printing External,5000,5000,2017,2017-5211-500-80860-00000000-909.3   -5582
General Fund,Supplies Exp,Genl Fd Economic Development,Supplies Goodwill,1500,1500,2017,2017-1001-100-80170-00000000-00000000-5116-
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Parts,Salaries Cell Allowance,351,351,2017,2017-2227-440-80790-00000000-00000000-5021
Utility Customer Service Fund,Purchased Services,UCS Fd Bill/Coll,Insurance Premiums,6743,6743,2017,2017-2226-300-80260-00000000-00000000-5520
Wastewater Fund,Purchased Services,WW General Plant Operations,Insurance Premiums,32843,32843,2017,2017-5213-520-80950-00000000-SGOPX   -5520-
General Fund,Utilities Exp,Genl Fd Criminal Investigation,Utilities Mobile Phone,1183,1183,2017,2017-1001-410-80320-00000000-00000000-5406
Utility Customer Service Fund,Salaries/Benefit Exp,UCS Fd Bill/Coll,Benefits Retirement,82327,82327,2017,2017-2226-300-80260-00000000-00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd Cemetery,Benefits Workers Comp Ins,3303,3303,2017,2017-1001-530-81144-00000000-00000000-5057
Utility Customer Service Fund,Contingency,UCS Fd Non Dept Exp,Contingency,30000,30000,2017,2017-2226-910-89100-00000000-00000000-6990
Electric Fund,Supplies Exp,Elec T&D Ofc Supp/Other,Supplies Office Supplies,3138,3138,2017,2017-5211-500-80870-00000000-921     -5101
Electric Fund,Salaries/Benefit Exp,Elec Adm Adm/Gen Salaries,Benefits FICA,51818,51818,2017,2017-5211-500-80810-00000000-920     -5050
Electric Fund,Salaries/Benefit Exp,Elec Whse Stores Exp,Benefits Workers Comp Ins,176,176,2017,2017-5211-500-80800-00000000-163     -5057
Drainage Utility Fund,Transfer Out Exp,Drainage Fd Non Dept Exp,Transfer Out Sanitation Fd,119761,119761,2017,2017-3912-910-89100-00000000-00000000-6853
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Parts,Benefits Group Life Insurance,287,287,2017,2017-2227-440-80790-00000000-00000000-5056
General Fund,Purchased Services,Genl Fd Public Communications,Printing External,8276,8276,2017,2017-1001-100-80150-00000000-00000000-5582
Water Fund,Supplies Exp,Water Source Maintenance,Supplies Workorder Supplies,34682,34682,2017,2017-5212-510-80900-00000000-WSORM   -5100-
Utility Customer Service Fund,Utilities Exp,UCS Fd Meter Svcs,Utilities Sanitation,311,311,2017,2017-2226-300-80270-00000000-00000000-5408
General Fund,Salaries/Benefit Exp,Genl Fd Swim Lessons,Benefits Retirement,7,7,2017,2017-1001-530-81125-AQ736   -00000000-5051
General Fund,Misc Operating Exp,Genl Fd Business Services,Misc Subscriptions,100,100,2017,2017-1001-600-81250-00000000-00000000-5935
General Fund,Utilities Exp,Genl Fd Judiciary,Utilities Local Phone,57,57,2017,2017-1001-300-80250-00000000-00000000-5404
Equipment Replacement Fund,Supplies Exp,Equip Repl FD Non Dept Exp,Supplies Computer Hdw/Sftw/Oth,40760,40760,2017,2017-2225-910-89100-00000000-00000000-5112
General Fund,Salaries/Benefit Exp,Genl Fd City Manager,Benefits Workers Comp Ins,794,794,2017,2017-1001-100-80130-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Aquatics Admin,Benefits Retirement,10664,10664,2017,2017-1001-530-81125-AQ730   -00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd Criminal Investigation,Salaries Cell Allowance,1757,1757,2017,2017-1001-410-80320-00000000-00000000-5021
Truancy Prevention Fee Fund,Purchased Services,Truancy Fd Operations,Printing External,1000,1000,2017,2017-3010-300-80240-00000000-00000000-5582-
Water Fund,Salaries/Benefit Exp,Water Pumping/Treatment Maint,Benefits FICA,3390,3390,2017,2017-5212-510-80900-00000000-WPMPM   -5050-
General Fund,Misc Operating Exp,Genl Fd Spec Fac Heritage Pgms,Misc Memberships,450,450,2017,2017-1001-530-81123-00000000-00000000-5930
General Fund,Misc Operating Exp,Genl Fd Mayor & Council,Misc Memberships,8000,8000,2017,2017-1001-100-80100-00000000-00000000-5930
Drainage Utility Fund,Utilities Exp,Drainage Fd Maintenance,Utilities Wastewater,1462,1462,2017,2017-3912-440-80796-00000000-00000000-5403
General Fund,Salaries/Benefit Exp,Genl Fd Xtra Education,Benefits Retirement,4611,4611,2017,2017-1001-530-81125-XT794   -00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd Information Services,Salaries Overtime,8206,8206,2017,2017-1001-410-80370-00000000-00000000-5014
Water Fund,Salaries/Benefit Exp,Water General Maintenance,Salaries Overtime,3000,3000,2017,2017-5212-510-80900-00000000-WGENM   -5014-
General Fund,Utilities Exp,Genl Fd Business Services,Utilities Mobile Phone,912,912,2017,2017-1001-600-81250-00000000-00000000-5406-
General Fund,Salaries/Benefit Exp,Genl Fd Uniform Patrol,Salaries Standby,750,750,2017,2017-1001-410-80310-00000000-00000000-5016
General Fund,Purchased Services,Genl Fd E Government,Travel Lodging/Transport/Other,2504,2504,2017,2017-1001-600-81210-00000000-00000000-5570
General Fund,Supplies Exp,Genl Fd Tennis Instruction,Supplies Recreational,1000,1000,2017,2017-1001-530-81125-SP760   -00000000-5118
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Maint,Benefits FICA,8623,8623,2017,2017-5213-520-80960-00000000-STRTM   -5050-
General Fund,Salaries/Benefit Exp,Genl Fd Cemetery,Benefits Group Life Insurance,340,340,2017,2017-1001-530-81144-00000000-00000000-5056
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Salaries Overtime,433,433,2017,2017-1001-100-80110-00000000-00000000-5014
Utility Customer Service Fund,Prof Svcs Exp,UCS Fd Meter Svcs,Prof Svcs Drug Testing,75,75,2017,2017-2226-300-80270-00000000-00000000-5306
General Fund,Salaries/Benefit Exp,Genl Fd Aquatics Admin,Benefits Group Health Ins,12586,12586,2017,2017-1001-530-81125-AQ730   -00000000-5055
Northgate Parking Fund,Utilities Exp,NG Pkg Fd Parking Oper,Utilities Phone Long Distance,159,159,2017,2017-5202-450-80621-00000000-00000000-5405
General Fund,Salaries/Benefit Exp,Genl Fd Operations East Dist,Benefits Retirement,92975,92975,2017,2017-1001-530-81141-00000000-00000000-5051
General Fund,Indirect Exp,Genl Fd Splash Pads,Recreation Indirect Admin,1363,1363,2017,2017-1001-530-81125-AQ735   -00000000-5800
Debt Service Fund,Debt Expense,Debt Svc Fd GO2010R,Debt Principal Pmts GOB,1400000,1400000,2017,2017-1151-910-89210-GO2010R -00000000-6633
Sanitation Fund,Misc Operating Exp,Sanitation Fd Commercial,Misc Memberships,781,781,2017,2017-5214-440-80781-00000000-00000000-5930
General Fund,Salaries/Benefit Exp,Genl Fd Network Services,Benefits Educational Reimburse,2000,2000,2017,2017-1001-600-81260-00000000-00000000-5059-
Electric Fund,Salaries/Benefit Exp,Elec Adm Adm/Gen Salaries,Benefits Gym Membership,486,486,2017,2017-5211-500-80810-00000000-920     -5060
Sanitation Fund,Supplies Exp,Sanitation Fd Residential,Supplies Safety,3400,3400,2017,2017-5214-440-80780-00000000-00000000-5122
General Fund,Salaries/Benefit Exp,Genl Fd Emergency Management,Benefits Car Allowance,2413,2413,2017,2017-1001-420-80410-00000000-00000000-5061
General Fund,Purchased Services,Genl Fd Traffic Engineering,Training Inhouse,500,500,2017,2017-1001-440-80710-00000000-00000000-5552
Fleet Maintenance Fund,Supplies Exp,Fleet Fd Admin,Supplies Minor Equip/Tools,10846,10846,2017,2017-2227-440-80791-00000000-00000000-5102
Neighborhood Park Zone 3 Fund,Capital Outlay,Neigh Pk Zone 3 Non Dept CIP,Cap Outlay Impr Construction,3500,3500,2017,2017-4173-910-89971-00000000-00000000-6561
General Fund,Misc Operating Exp,Genl Fd Public Communications,Misc Postage & Freight,250,250,2017,2017-1001-100-80150-00000000-00000000-5960
General Fund,Salaries/Benefit Exp,Genl Fd Internal Auditor,Salaries Full Time Labor,150469,150469,2017,2017-1001-100-80120-00000000-00000000-5011
General Fund,Purchased Services,Genl Fd Business Services,Travel Lodging/Transport/Other,7288,7288,2017,2017-1001-600-81250-00000000-00000000-5570
Electric Fund,Salaries/Benefit Exp,Elec Sub Mnt Station Eq Trans,Salaries Full Time Labor,29832,29832,2017,2017-5211-500-80820-00000000-570     -5011-
General Fund,Salaries/Benefit Exp,Genl Fd Landscape/Irrigation,Salaries Standby,650,650,2017,2017-1001-440-80760-00000000-00000000-5016-
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Distribution,Salaries Standby,5000,5000,2017,2017-5211-500-80820-00000000-582     -5016-
General Fund,Supplies Exp,Genl Fd Fire Administration,Supplies Goodwill,1918,1918,2017,2017-1001-420-80400-00000000-00000000-5116
Wastewater Fund,Salaries/Benefit Exp,WW Collection Operations,Salaries Full Time Labor,406547,406547,2017,2017-5213-520-80950-00000000-SCOPX   -5011-
Neighborhood Park Zone 14 Fund,G&A Transfer Out,Neigh Pk Zone 14 Non Dept Exp,G&A Transfer Out General Fd,389,389,2017,2017-4184-910-89100-00000000-00000000-6310
General Fund,Salaries/Benefit Exp,Genl Fd Municipal Court,Salaries Cell Allowance,820,820,2017,2017-1001-300-80240-00000000-00000000-5021
Sanitation Fund,Utilities Exp,Sanitation Fd Residential,Utilities Local Phone,553,553,2017,2017-5214-440-80780-00000000-00000000-5404
General Fund,Supplies Exp,Genl Fd Operations South Dist,Supplies Awards,43,43,2017,2017-1001-530-81142-00000000-00000000-5121
General Fund,Prof Svcs Exp,Genl Fd SW Center   Teen,Prof Svcs Miscellaneous,1120,1120,2017,2017-1001-530-81125-CT840   -00000000-5399
General Fund,Supplies Exp,Genl Fd Swim Lessons,Supplies Office Supplies,1260,1260,2017,2017-1001-530-81125-AQ736   -00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd Ultimate Frisbee,Benefits FICA,52,52,2017,2017-1001-530-81125-SP766   -00000000-5050-
General Fund,Salaries/Benefit Exp,Genl Fd Economic Development,Benefits Group Health Ins,19429,19429,2017,2017-1001-100-80170-00000000-00000000-5055-
Sanitation Fund,Purchased Services,Sanitation Fd Residential,Printing External,2750,2750,2017,2017-5214-440-80780-00000000-00000000-5582
General Fund,Utilities Exp,Genl Fd Human Resources,Utilities Phone Long Distance,689,689,2017,2017-1001-100-80160-00000000-00000000-5405
Water Fund,Purchased Services,Water General Operations,Advertising Legal Notices,282,282,2017,2017-5212-510-80910-00000000-WGENX   -5540-
Sanitation Fund,Prof Svcs Exp,Sanitation Fd Residential,Prof Svcs Contract Labor,840000,840000,2017,2017-5214-440-80780-00000000-00000000-5315
General Fund,Purchased Services,Genl Fd PARD Administration,Insurance Premiums,3303,3303,2017,2017-1001-530-81100-00000000-00000000-5520
General Fund,Purchased Services,Genl Fd Criminal Investigation,Printing External,271,271,2017,2017-1001-410-80320-00000000-00000000-5582
General Fund,Purchased Services,Genl Fd Cemetery,Rent/Lease Equipment,800,800,2017,2017-1001-530-81144-00000000-00000000-5500
Water Fund,Utilities Exp,Water Source Operations,Utilities Electric,855315,855315,2017,2017-5212-510-80900-00000000-WSORX   -5400-
General Fund,Salaries/Benefit Exp,Genl Fd Rec Sports Admin,Benefits FICA,8133,8133,2017,2017-1001-530-81125-SP750   -00000000-5050
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Maintenance,Benefits Workers Comp Ins,358,358,2017,2017-5213-520-80960-00000000-SLUDM   -5057-
General Fund,Salaries/Benefit Exp,Genl Fd Recreation Admin,Benefits Group Life Insurance,233,233,2017,2017-1001-530-81110-00000000-00000000-5056
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter/Superintendent,Benefits Retirement,15946,15946,2017,2017-5211-500-80820-00000000-560     -5051-
Electric Fund,Supplies Exp,Elec T&D Mnt Street Lights,Supplies Workorder Supplies,22000,22000,2017,2017-5211-500-80870-00000000-596     -5100-
General Fund,Supplies Exp,Genl Fd Emergency Management,Supplies Computer Hdw/Sftw/Oth,5289,5289,2017,2017-1001-420-80410-00000000-00000000-5112
General Fund,Purchased Services,Genl Fd Public Communications,Training Outside,3578,3578,2017,2017-1001-100-80150-00000000-00000000-5551
General Fund,Purchased Services,Genl Fd Traffic Signs/Markings,Training Outside,2925,2925,2017,2017-1001-440-80750-00000000-00000000-5551
General Fund,Salaries/Benefit Exp,Genl Fd Communication Services,Salaries Full Time Labor,237694,237694,2017,2017-1001-600-81270-00000000-00000000-5011
General Fund,Indirect Exp,Genl Fd Adult Softball,Recreation Indirect Field Cost,42000,42000,2017,2017-1001-530-81125-SP752   -00000000-5820
General Fund,Salaries/Benefit Exp,Genl Fd Communication Services,Salaries Certification Pay,2341,2341,2017,2017-1001-600-81270-00000000-00000000-5017
Northgate Parking Fund,Purchased Services,NG Pkg Fd Parking Oper,Advertising Promotional,5188,5188,2017,2017-5202-450-80621-00000000-00000000-5542
Debt Service Fund,Debt Expense,Debt Svc Fd GO2009R,Debt Interest Pmts GOB,33864,33864,2017,2017-1151-910-89210-GO2009R -00000000-6643
General Fund,Misc Operating Exp,Genl Fd Tourism Special Events,Misc Subscriptions,710,710,2017,2017-1001-530-81121-00000000-00000000-5935
General Fund,Salaries/Benefit Exp,Genl Fd Capital Projects Oper,Benefits Group Life Insurance,1724,1724,2017,2017-1001-440-80730-00000000-00000000-5056
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Salaries Overtime,1516,1516,2017,2017-1001-530-81100-00000000-00000000-5014
General Fund,Supplies Exp,Genl Fd Adamson Lagoon,Supplies Miscellaneous,2238,2238,2017,2017-1001-530-81125-AQ733   -00000000-5199
Electric Fund,Salaries/Benefit Exp,Elec Whse Stores Exp,Benefits Unemployment Comp Ins,121,121,2017,2017-5211-500-80800-00000000-163     -5058
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits Group Life Insurance,739,739,2017,2017-1001-600-81200-00000000-00000000-5056
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits Group Health Ins,29104,29104,2017,2017-1001-600-81200-00000000-00000000-5055
Water Fund,Misc Operating Exp,Water General Operations,Misc Postage & Freight,5223,5223,2017,2017-5212-510-80910-00000000-WGENX   -5960-
General Fund,Replacements Exp,Genl Fd Public Works Admin,Replacement Copiers,1425,1425,2017,2017-1001-440-80700-00000000-00000000-5603
General Fund,Supplies Exp,Genl Fd Planning,Supplies Food & Beverages,820,820,2017,2017-1001-430-80530-00000000-00000000-5114-
General Fund,Supplies Exp,Genl Fd Criminal Investigation,Supplies Goodwill,500,500,2017,2017-1001-410-80320-00000000-00000000-5116
General Fund,Indirect Exp,Genl Fd Swim Team,Recreation Indirect Admin,5452,5452,2017,2017-1001-530-81125-AQ738   -00000000-5800
General Fund,Supplies Exp,Genl Fd Tourism Athletics,Supplies Awards,9574,9574,2017,2017-1001-530-81122-00000000-00000000-5121
General Fund,Purchased Services,Genl Fd Tourism Special Events,Rent/Lease Miscellaneous,13470,13470,2017,2017-1001-530-81121-00000000-00000000-5509
Wastewater Fund,Supplies Exp,WW General Plant Operations,Supplies Awards,44,44,2017,2017-5213-520-80950-00000000-SGOPX   -5121-
Sanitation Fund,Utilities Exp,Sanitation Fd Commercial,Utilities Mobile Phone,3782,3782,2017,2017-5214-440-80781-00000000-00000000-5406
General Fund,Replacements Exp,Genl Fd Operations West Dist,Replacement Fleet,19500,19500,2017,2017-1001-530-81143-00000000-00000000-5600
Water Fund,Salaries/Benefit Exp,Water Distribution Operations,Salaries Full Time Labor,319198,319198,2017,2017-5212-510-80910-00000000-WDISX   -5011-
General Fund,Supplies Exp,Genl Fd Public Works Admin,Supplies Office Supplies,6000,6000,2017,2017-1001-440-80700-00000000-00000000-5101
General Fund,Supplies Exp,Genl Fd Develop Svcs Bldg,Supplies Miscellaneous,152,152,2017,2017-1001-430-80520-00000000-00000000-5199
General Fund,Utilities Exp,Genl Fd IT Administration,Utilities Sanitation,1557,1557,2017,2017-1001-600-81200-00000000-00000000-5408
Electric Fund,Supplies Exp,Elec T&D Mnt Meters,Supplies Workorder Supplies,2327,2327,2017,2017-5211-500-80870-00000000-597     -5100-
General Fund,Misc Operating Exp,Genl Fd Comm & Nhood Greenways,Misc Subscriptions,101,101,2017,2017-1001-430-80541-00000000-00000000-5935
General Fund,Purchased Services,Genl Fd Jail,Printing External,99,99,2017,2017-1001-410-80355-00000000-00000000-5582-
Water Fund,Salaries/Benefit Exp,Water Source Operations,Benefits Group Life Insurance,10,10,2017,2017-5212-510-80900-00000000-WSORX   -5056-
General Fund,Salaries/Benefit Exp,Genl Fd Information Services,Benefits Workers Comp Ins,427,427,2017,2017-1001-410-80370-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Fire Prevention,Benefits Workers Comp Ins,8922,8922,2017,2017-1001-420-80430-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Judiciary,Benefits Gym Membership,121,121,2017,2017-1001-300-80250-00000000-00000000-5060
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Benefits Retirement,47696,47696,2017,2017-1001-530-81100-00000000-00000000-5051
Property & Casualty Ins Fund,Salaries/Benefit Exp,P&C Ins Fd Operations,Salaries Language Pay,146,146,2017,2017-2221-100-80160-00000000-00000000-5018
General Fund,Purchased Services,Genl Fd Traffic Engineering,Travel Lodging/Transport/Other,6000,6000,2017,2017-1001-440-80710-00000000-00000000-5570
General Fund,Misc Operating Exp,Genl Fd Swim Team,Misc Memberships,720,720,2017,2017-1001-530-81125-AQ738   -00000000-5930
General Fund,Utilities Exp,Genl Fd Traffic Signals,Utilities Electric,100487,100487,2017,2017-1001-440-80770-00000000-00000000-5400
Wastewater Fund,Supplies Exp,WW Collection Operations,Supplies Veh/Equip Fuel & Oil,67279,67279,2017,2017-5213-520-80950-00000000-SCOPX   -5104-
General Fund,Supplies Exp,Genl Fd Tourism Athletics,Supplies Recreational,8400,8400,2017,2017-1001-530-81122-00000000-00000000-5118
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Athletics,Benefits Group Life Insurance,185,185,2017,2017-1001-530-81122-00000000-00000000-5056
General Fund,Utilities Exp,Genl Fd Operations Admin,Utilities Water,110295,110295,2017,2017-1001-530-81140-00000000-00000000-5402
General Fund,Salaries/Benefit Exp,Genl Fd Fire Training,Benefits Car Allowance,3620,3620,2017,2017-1001-420-80450-00000000-00000000-5061-
Electric Fund,G&A Transfer Out,Elec ND IDT Exp Util Bill 3%,Interdept Exp Utility Billing,38205,38205,2017,2017-5211-910-89100-00000000-901     -6010-
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Special Events,Salaries Temp/Seasonal/PTNB,59924,59924,2017,2017-1001-530-81121-00000000-00000000-5013
General Fund,Misc Operating Exp,Genl Fd Public Works Admin,Misc Memberships,1250,1250,2017,2017-1001-440-80700-00000000-00000000-5930
General Fund,Supplies Exp,Genl Fd Adult Volleyball,Supplies Awards,2605,2605,2017,2017-1001-530-81125-SP753   -00000000-5121
Neighborhood Park Zone 12 Fund,G&A Transfer Out,Neigh Pk Zone 12 Non Dept Exp,G&A Transfer Out General Fd,104,104,2017,2017-4182-910-89100-00000000-00000000-6310
General Fund,Salaries/Benefit Exp,Genl Fd GIS,Benefits FICA,11615,11615,2017,2017-1001-600-81220-00000000-00000000-5050
Wastewater Fund,Utilities Exp,WW Pumping Treat Disp Oper,Utilities Sanitation,7725,7725,2017,2017-5213-520-80960-00000000-STRTX   -5408-
General Fund,Indirect Exp,Genl Fd Tennis Instruction,Recreation Indirect PARD Admin,6796,6796,2017,2017-1001-530-81125-SP760   -00000000-5810
General Fund,Salaries/Benefit Exp,Genl Fd Jail,Salaries Incentive Pay,146,146,2017,2017-1001-410-80355-00000000-00000000-5019-
General Fund,Purchased Services,Genl Fd Facilities Management,Rent/Lease Equipment,6000,6000,2017,2017-1001-440-80720-00000000-00000000-5500
Employee Benefits Fund,Non-Dept Ins Oper Ex,Empl Ben Ins Fd Non Dept Exp,Insure Wellness Exp,50000,50000,2017,2017-2222-910-89100-00000000-00000000-6142
Wastewater Fund,Supplies Exp,WW General Plant Operations,Supplies Computer Hdw/Sftw/Oth,18994,18994,2017,2017-5213-520-80960-00000000-SGOPX   -5112-
General Fund,G&A Transfer Out,Genl Fd Thomas Pool,G&A Transfer Out General Fd,9215,9215,2017,2017-1001-530-81125-AQ732   -00000000-6310
Fleet Maintenance Fund,Utilities Exp,Fleet Fd Admin,Utilities Phone Long Distance,473,473,2017,2017-2227-440-80791-00000000-00000000-5405
General Fund,Salaries/Benefit Exp,Genl Fd Operations Admin,Salaries Cell Allowance,586,586,2017,2017-1001-530-81140-00000000-00000000-5021
General Fund,Purchased Services,Genl Fd Comm & Nhood Greenways,Insurance Premiums,536,536,2017,2017-1001-430-80541-00000000-00000000-5520
General Fund,Salaries/Benefit Exp,Genl Fd Rec Sports Admin,Salaries Full Time Labor,90122,90122,2017,2017-1001-530-81125-SP750   -00000000-5011
General Fund,Salaries/Benefit Exp,Genl Fd Fire Suppression,Benefits Workers Comp Ins,115583,115583,2017,2017-1001-420-80420-00000000-00000000-5057
General Fund,Purchased Services,Genl Fd Operations South Dist,Rent/Lease Equipment,2115,2115,2017,2017-1001-530-81142-00000000-00000000-5500
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Computer Hdw/Sftw/Oth,3500,3500,2017,2017-5211-500-80810-00000000-921     -5112
Wastewater Fund,Purchased Services,WW General Plant Operations,Travel Lodging/Transport/Other,4227,4227,2017,2017-5213-520-80960-00000000-SGOPX   -5570-
General Fund,Supplies Exp,Genl Fd Operations East Dist,Supplies Recreational,17935,17935,2017,2017-1001-530-81141-00000000-00000000-5118
Court Technology Fee Fund,Purchased Services,Court Tech Fd Operations,Training Outside,2500,2500,2017,2017-3005-300-80240-00000000-00000000-5551
Wastewater Fund,Supplies Exp,WW General Plant Operations,Supplies Laboratory,25925,25925,2017,2017-5213-520-80960-00000000-SGOPX   -5129-
General Fund,Purchased Services,Genl Fd PARD Administration,Advertising Promotional,21425,21425,2017,2017-1001-530-81100-00000000-00000000-5542
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Benefits Group Health Ins,58015,58015,2017,2017-1001-100-80110-00000000-00000000-5055
General Fund,Salaries/Benefit Exp,Genl Fd Communications,Benefits FICA,86658,86658,2017,2017-1001-410-80350-00000000-00000000-5050
General Fund,Purchased Services,Genl Fd Traffic Signals,Training Outside,5048,5048,2017,2017-1001-440-80770-00000000-00000000-5551
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Residential,Salaries Standby,4399,4399,2017,2017-5214-440-80780-00000000-00000000-5016
Electric Fund,Salaries/Benefit Exp,Elec Sub Mnt Station Eq Dist,Benefits Workers Comp Ins,1689,1689,2017,2017-5211-500-80820-00000000-592     -5057-
General Fund,Salaries/Benefit Exp,Genl Fd Xtra Education,Salaries Full Time Labor,34758,34758,2017,2017-1001-530-81125-XT794   -00000000-5011
Employee Benefits Fund,Non-Dept Ins Claims,Empl Ben Ins Fd Non Dept Exp,Insure Claims Medical,6457113,6457113,2017,2017-2222-910-89100-00000000-00000000-6118
General Fund,Non-Dept Misc Exp,Genl Fd Non Dept Expense,Nonoper Exp Property Tax,245,245,2017,2017-1001-910-89100-00000000-00000000-6765
General Fund,Replacements Exp,Genl Fd Facilities Management,Replacement Fleet,35550,35550,2017,2017-1001-440-80720-00000000-00000000-5600
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Maintenance,Benefits FICA,20760,20760,2017,2017-5213-520-80960-00000000-SGMTM   -5050-
General Fund,Supplies Exp,Genl Fd Community Svcs Admin,Supplies Awards,45,45,2017,2017-1001-450-80600-00000000-00000000-5121-
General Fund,Supplies Exp,Genl Fd Tourism Special Events,Supplies Miscellaneous,23246,23246,2017,2017-1001-530-81121-00000000-00000000-5199
General Fund,Purchased Services,Genl Fd City Manager,Printing External,500,500,2017,2017-1001-100-80130-00000000-00000000-5582
